Cifras Oficiales de Población de los Municipios Españoles: Revisión del Padrón Municipal
Detalle municipal
Córdoba: Población por municipios y sexo. 
Unidades: Personas
;Hombres;Mujeres;
;2017;2017;
14 Córdoba;386736.0;401483.0;
14001 Adamuz;2173.0;2063.0;
14002 Aguilar de la Frontera;6784.0;6692.0;
14003 Alcaracejos;724.0;772.0;
14004 Almedinilla;1232.0;1223.0;
14005 Almodóvar del Río;4015.0;3967.0;
14006 Añora;767.0;786.0;
14007 Baena;9977.0;9546.0;
14008 Belalcázar;1611.0;1725.0;
14009 Belmez;1420.0;1493.0;
14010 Benamejí;2519.0;2506.0;
14011 Blázquez, Los;358.0;333.0;
14012 Bujalance;3796.0;3803.0;
14013 Cabra;10055.0;10502.0;
14014 Cañete de las Torres;1541.0;1459.0;
14015 Carcabuey;1261.0;1210.0;
14016 Cardeña;769.0;763.0;
14017 Carlota, La;7030.0;6980.0;
14018 Carpio, El;2229.0;2251.0;
14019 Castro del Río;3918.0;3963.0;
14020 Conquista;208.0;210.0;
14021 Córdoba;156522.0;169394.0;
14022 Doña Mencía;2305.0;2413.0;
14023 Dos Torres;1202.0;1224.0;
14024 Encinas Reales;1137.0;1160.0;
14025 Espejo;1706.0;1669.0;
14026 Espiel;1236.0;1238.0;
14027 Fernán-Núñez;4848.0;4832.0;
14028 Fuente la Lancha;178.0;167.0;
14029 Fuente Obejuna;2423.0;2311.0;
14030 Fuente Palmera;5468.0;5403.0;
14031 Fuente-Tójar;335.0;370.0;
14032 Granjuela, La;244.0;230.0;
14033 Guadalcázar;803.0;802.0;
14034 Guijo, El;188.0;167.0;
14035 Hinojosa del Duque;3392.0;3530.0;
14036 Hornachuelos;2293.0;2282.0;
14037 Iznájar;2209.0;2196.0;
14038 Lucena;21202.0;21309.0;
14039 Luque;1540.0;1511.0;
14040 Montalbán de Córdoba;2213.0;2207.0;
14041 Montemayor;1960.0;1942.0;
14042 Montilla;11487.0;11722.0;
14043 Montoro;4661.0;4857.0;
14044 Monturque;990.0;1004.0;
14045 Moriles;1890.0;1885.0;
14046 Nueva Carteya;2739.0;2657.0;
14047 Obejo;1053.0;958.0;
14048 Palenciana;764.0;751.0;
14049 Palma del Río;10531.0;10631.0;
14050 Pedro Abad;1451.0;1413.0;
14051 Pedroche;757.0;810.0;
14052 Peñarroya-Pueblonuevo;5335.0;5696.0;
14053 Posadas;3696.0;3715.0;
14054 Pozoblanco;8437.0;8848.0;
14055 Priego de Córdoba;11070.0;11627.0;
14056 Puente Genil;14994.0;15179.0;
14057 Rambla, La;3762.0;3785.0;
14058 Rute;4956.0;5038.0;
14059 San Sebastián de los Ballesteros;405.0;403.0;
14061 Santa Eufemia;397.0;397.0;
14060 Santaella;3064.0;2985.0;
14062 Torrecampo;547.0;576.0;
14063 Valenzuela;588.0;601.0;
14064 Valsequillo;178.0;189.0;
14065 Victoria, La;1159.0;1168.0;
14066 Villa del Río;3628.0;3623.0;
14067 Villafranca de Córdoba;2488.0;2398.0;
14068 Villaharta;324.0;338.0;
14069 Villanueva de Córdoba;4402.0;4484.0;
14070 Villanueva del Duque;753.0;751.0;
14071 Villanueva del Rey;533.0;548.0;
14072 Villaralto;585.0;586.0;
14073 Villaviciosa de Córdoba;1716.0;1631.0;
14074 Viso, El;1279.0;1307.0;
14075 Zuheros;326.0;318.0;
Notas:
Si en la serie de datos en algún año no existe población es porque a la fecha de referencia no existía el municipio.
Las cifras de 1996 están referidas a 1 de mayo y  las demás a 1 de enero.
No existen cifras a 1 de enero de 1997 porque no se realizó revisión del padrón para ese año
Fuente: Instituto Nacional de Estadística
